file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,46
style.css,2,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,6
style.css,3,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,24
style.css,4,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,34
style.css,5,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,27
style.css,6,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,21
style.css,7,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,68
style.css,8,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,46
style.css,9,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,24
style.css,10,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,18
style.css,11,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,16
style.css,12,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,60
style.css,13,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,40
style.css,14,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,0
style.css,15,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,24
style.css,16,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,36
style.css,17,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,18
style.css,18,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,16
style.css,19,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,60
style.css,20,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,40
style.css,21,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,0
style.css,22,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,0
style.css,23,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,0
style.css,24,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,21
style.css,25,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,15
style.css,26,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,6
style.css,27,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,7
style.css,28,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,11
style.css,29,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,36
style.css,30,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,40
style.css,31,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,13
style.css,32,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,20
style.css,33,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,13
style.css,34,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,30
style.css,35,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,19
style.css,36,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,55
style.css,37,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,0
style.css,38,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,0
style.css,39,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,37
style.css,40,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,22
style.css,41,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,15
style.css,42,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,16
